COLUMNNAME,sample values,Distinct
Accident or Incident Code,"Crash, C, W","""C"",""Crash"",""Other"",""W"""
Accident Type,"Close Quarters, Roadway Crashes, Cargo","""nan"",""Cargo"",""Close Quarters"",""Critical Crashes"",""Other Claim"",""Roadway Crashes"",""Work Comp"""
Actual Recovered Amount,"0.00, 500.00, 1000.00",#N/A
At Customer Code,      ,"""      """
Cargo Claim - Will Dispute,"0, 1",#N/A
Cargo Claim Flag,"N, Y","""N"",""Y"""
Cargo Workers Comp,"Accident, Cargo","""Accident"",""Cargo"",""nan"",""Work Comp"""
